Scheme Code,Net Asset Value
 ,
Open Ended Schemes(Debt Scheme - Banking and PSU Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
119551,110.0794
119552,114.1045
119553,111.003
108272,155.852
110282,110.8875
108274,107.9783
110490,110.7468
106157,110.7245
108273,308.4861
103176,463.0773
119550,317.698
 ,
Axis Mutual Fund,
 ,
128952,1532.8272
120437,1038.9781
120438,2283.2988
120439,1040.7700
120436,1039.1912
128953,1289.4075
117447,1038.9694
117446,2228.5686
117449,1040.5546
117448,1039.1555
 ,
Bandhan Mutual Fund,
 ,
121936,12.4270
127471,10.4768
121934,10.4829
121279,21.2973
121281,11.2034
121935,10.5108
121938,10.8222
121933,11.4043
127470,10.8788
121931,10.6384
121280,20.8358
121282,11.2513
121932,10.7547
121937,10.7275
 ,
Baroda BNP Paribas Mutual Fund,
 ,
148629,10.1368
148628,10.7731
148630,10.1628
148625,10.6726
148626,10.1103
148627,10.2187
 ,
Canara Robeco Mutual Fund,
 ,
150505,10.2879
150507,10.2877
150503,10.2695
150504,10.2695
 ,
DSP Mutual Fund,
 ,
124175,20.7817
124178,10.5827
124182,10.1600
124176,10.2757
124177,10.3170
124183,10.1644
124172,20.1920
124174,10.5559
124173,10.1600
124180,10.2682
124181,10.3105
124179,10.1643
 ,
Edelweiss Mutual Fund,
 ,
140286,21.289
140288,18.2037
140291,14.6333
140293,10.9999
140290,10.5528
140283,20.6904
140284,17.6182
140294,14.2523
140292,11.2411
140289,10.1496
 ,
Franklin Templeton Mutual Fund,
 ,
129008,19.6466
129006,18.9476
129009,10.8658
129007,10.3552
 ,
HDFC Mutual Fund,
 ,
128628,19.3538
128629,19.9721
128627,10.1526
128626,10.0429
 ,
HSBC Mutual Fund,
 ,
151108,11.1907
151107,21.4879
151106,11.3216
151109,10.3620
151102,11.1160
151104,20.5764
151105,10.7952
151103,10.3346
 ,
ICICI Prudential Mutual Fund,
 ,
112343,10.0549
112344,10.2427
130897,15.8889
120257,10.2538
120256,28.3939
120258,12.7112
120255,10.3708
130950,13.8665
131148,13.1098
112342,27.4505
116174,10.7712
131147,12.9261
113247,10.0122
113242,21.631
113243,10.3305
 ,
Invesco Mutual Fund,
 ,
118234,1010.2242
120444,2027.065
120443,1031.9312
120445,1017.6338
118232,1907.7702
118233,1036.7219
 ,
ITI Mutual Fund,
 ,
148534,11.2274
148536,11.2274
148535,11.0792
148533,11.0792
 ,
Kotak Mahindra Mutual Fund,
 ,
123688,16.1842
123858,10.188
123859,10.2604
123690,54.9609
123691,10.4589
123689,17.1427
123693,56.746
123692,10.2737
 ,
LIC Mutual Fund,
 ,
120337,12.6619
120338,31.2935
120339,11.7855
120336,10.0659
105822,10.8239
105823,29.3545
105856,10.9863
105857,10.0635
 ,
Mirae Asset Mutual Fund,
 ,
148419,11.0941
148417,11.0939
148416,10.9635
148418,10.9644
 ,
Nippon India Mutual Fund,
 ,
134552,17.9654
134547,17.9651
134546,12.3452
134545,17.4675
134555,17.9651
134550,10.6411
134556,10.6562
134554,10.2896
134548,17.4675
134549,10.5789
134551,10.6091
134553,10.2900
 ,
PGIM India Mutual Fund,
 ,
138573,13.3974
138580,10.4631
138565,10.7742
138576,11.6111
138571,10.6562
138579,10.454
138570,10.2735
138566,20.5717
138575,13.6246
138574,15.2364
138568,11.0995
138563,10.9284
138567,10.7148
138569,10.2259
138564,21.5468
 ,
SBI Mutual Fund,
 ,
125502,1219.3387
125503,2768.2518
125505,1183.0652
125504,1216.6305
125498,2631.9345
125499,1200.7616
125501,1126.5768
125500,1200.5101
 ,
Sundaram Mutual Fund,
 ,
134363,11.7065
134370,11.4008
134369,10.6356
134355,11.6319
134356,11.6493
134359,11.1411
134361,11.1681
134360,10.1418
134362,11.0236
119629,18.2987
119627,10.2300
119625,36.5777
119626,11.5402
118326,18.2389
100782,10.3550
100784,36.1688
100793,11.5928
100783,12.1300
100781,32.5957
100780,11.4976
134358,11.6582
 ,
Tata Mutual Fund,
 ,
147637,12.3456
147638,12.3456
147634,12.1325
147633,12.1325
147636,12.3456
147635,12.1325
 ,
Trust Mutual Fund,
 ,
148656,1086.4008
148655,1074.8123
148672,1049.3077
148678,1089.5127
148681,1023.9984
148670,1039.9727
148675,1016.2482
148669,1037.9073
148667,1076.8967
148674,1017.6428
148668,1029.4364
148679,1012.9332
 ,
UTI Mutual Fund,
 ,
140135,11.9307
133972,16.1223
126940,18.7094
141375,12.4151
134026,12.5355
126942,13.925
140116,11.7986
133971,12.4118
139407,12.3599
136110,12.4217
126941,12.7014
126939,18.5085
 ,
Open Ended Schemes(Debt Scheme - Corporate Bond Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
119533,95.329
103178,94.1193
124832,10.8582
119532,12.4035
124833,12.2455
103183,12.2667
103177,11.7535
103179,10.6457
103180,35.2986
103181,15.5708
103182,35.0763
 ,
Axis Mutual Fund,
 ,
141586,10.2348
141590,10.2649
141591,13.8736
141587,10.3772
141588,14.9357
141589,10.2347
141594,10.2573
141595,13.2701
141592,10.2583
141593,14.3104
 ,
Bandhan Mutual Fund,
 ,
139201,10.4744
135916,16.5712
139200,11.6738
139198,10.3956
135917,10.9940
139199,10.4859
139204,10.4404
135914,16.2076
139203,11.0529
139202,10.6484
135915,10.9260
139205,10.5260
 ,
Baroda BNP Paribas Mutual Fund,
 ,
150230,10.8965
150229,26.4852
150231,10.0899
150228,10.1832
150236,11.0614
150237,24.1316
150238,10.1595
150239,10.3704
150233,10.8352
150235,22.8854
150234,10.1208
150232,10.2582
 ,
Canara Robeco Mutual Fund,
 ,
126685,19.6199
126686,12.1816
126687,18.5790
126688,11.5342
 ,
DSP Mutual Fund,
 ,
144646,13.6261
144647,11.3863
144651,10.4789
144648,11.2357
144644,13.4710
144650,11.3392
144645,10.4597
144649,10.5965
 ,
Franklin Templeton Mutual Fund,
 ,
119289,0.0000
118569,89.1738
100528,83.3757
100532,0.0000
100527,17.3799
118570,19.2714
118573,14.9783
118571,16.5298
118572,13.7307
100531,13.1554
100529,14.8721
100530,12.3081
 ,
HDFC Mutual Fund,
 ,
113070,27.1019
118987,27.5384
132848,17.5572
132849,18.0225
113071,10.4099
118986,10.2539
 ,
HSBC Mutual Fund,
 ,
151000,12.2240
150996,64.8671
150998,11.4894
150997,20.3054
151001,12.0579
150992,61.3667
150993,11.1413
150994,17.2010
150995,23.3104
 ,
ICICI Prudential Mutual Fund,
 ,
130947,14.9782
111988,10.1065
120695,10.1008
120696,12.1669
120692,25.9508
131152,12.8827
120697,10.2717
120694,14.9092
120693,10.2332
111990,10.2243
111987,24.8993
131151,12.6555
111991,10.4257
111982,10.0277
111985,10.0770
111989,10.3040
111992,10.7893
111976,10.0275
111978,10.3041
111972,22.7853
111979,10.3008
111980,10.9335
111977,10.2202
 ,
Invesco Mutual Fund,
 ,
106179,1648.3419
120500,1218.6278
120499,2836.5351
120497,2835.6362
120496,1263.8556
120501,1149.4299
116109,2801.5094
106177,2668.9658
106171,1529.763
106172,1148.1064
 ,
Kotak Mahindra Mutual Fund,
 ,
133770,2034.9063
133791,3268.063
133792,1074.6496
133772,2090.4924
133782,3153.7175
133787,1038.0194
133777,1066.6837
133779,1040.0538
133771,1052.3061
133783,1052.6393
133776,1052.7994
133786,1202.9939
 ,
Mirae Asset Mutual Fund,
 ,
148755,10.8743
148756,10.8735
148757,10.7772
148758,10.7770
 ,
Nippon India Mutual Fund,
 ,
109472,17.0959
118808,17.0959
125266,16.4792
118809,11.6591
118811,11.8864
118812,17.1136
118807,37.1296
118814,52.0056
100859,35.6819
100856,49.9613
125267,16.0062
100857,11.5367
100858,11.7472
109473,17.1131
 ,
PGIM India Mutual Fund,
 ,
138317,10.9541
138329,16.5971
138330,40.0277
138331,14.9988
138332,13.1035
138318,36.5259
138316,13.0143
138323,21.588
138315,11.6192
138336,24.9334
138324,15.2260
138333,13.2164
138334,13.5688
 ,
SBI Mutual Fund,
 ,
146215,13.2964
146212,12.5504
146216,12.9259
146207,13.0362
146208,12.3037
146210,12.6661
 ,
Sundaram Mutual Fund,
 ,
119628,12.2188
119631,15.8109
119623,0.0000
119621,34.9339
119624,15.8654
119622,15.8518
119630,17.5721
100792,0.0000
100790,10.5417
100791,0.0000
100788,15.4059
100787,15.8182
100785,15.0561
100786,17.1257
100789,33.9516
 ,
Tata Mutual Fund,
 ,
149361,10.4844
149364,10.4844
149357,10.4844
149355,10.4844
149356,10.4844
149362,10.4844
149358,10.4844
149351,10.3959
149353,10.3959
149363,10.3959
149360,10.3959
149352,10.3959
149354,10.3959
149359,10.3959
 ,
Trust Mutual Fund,
 ,
151320,1010.5279
151321,1010.6144
151322,1009.8191
151319,1009.8157
 ,
Union Mutual Fund,
 ,
143241,13.0608
143242,13.0608
143239,12.8588
143240,12.8588
 ,
UTI Mutual Fund,
 ,
148085,6.8146
148086,7.3484
148076,1.504
148090,1.4941
148091,1.4429
148092,2.3467
148075,1.4416
148088,1.4408
148087,1.4131
148089,1.8744
144344,12.0813
144341,12.3065
144339,13.9627
144340,11.9308
144346,12.2118
144337,11.8902
144338,12.1154
144345,13.7589
144343,11.6252
144342,11.9641
 ,
Open Ended Schemes(Debt Scheme - Credit Risk Fund),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
134385,12.131
134388,18.6978
134387,18.6986
134386,11.2807
134384,17.4278
134383,17.4063
147803,.1704
147802,.1704
147799,.1633
147800,.1302
147801,.1245
147798,.1631
 ,
Axis Mutual Fund,
 ,
130314,19.7573
130312,10.1410
130311,10.3052
130309,17.9771
130313,10.1240
130310,10.1778
 ,
Bandhan Mutual Fund,
 ,
140605,10.4517
140608,10.4844
140609,14.0931
140611,10.4884
140612,10.9439
140607,10.4343
140610,10.6360
140603,14.9590
140606,10.9449
140604,10.6062
 ,
Bank of India Mutual Fund,
 ,
133868,10.8314
133867,10.6521
 ,
Baroda BNP Paribas Mutual Fund,
 ,
133520,13.8002
133524,12.6533
133488,20.0748
133486,18.5661
133517,11.3423
133518,11.8873
148350,0
148333,0
148334,0
148349,0
148330,0
148331,0
148332,0
148335,0
 ,
DSP Mutual Fund,
 ,
119084,10.7075
119082,36.5659
119083,12.7109
119087,10.2505
119085,11.0590
119086,10.2566
101839,12.5618
101840,10.2505
117061,10.6466
117062,10.9372
101838,10.2563
101837,34.0842
 ,
Franklin Templeton Mutual Fund,
 ,
118553,24.9357
118552,13.6656
116153,24.7111
116154,13.2514
148304,0.0000
148303,0.0000
147956,0.0000
147955,0.0000
147957,0.0000
147954,0.0000
147959,0.2914
147958,0.5749
147961,0.5434
148305,0.0000
147960,0.3150
148306,0.0000
 ,
HDFC Mutual Fund,
 ,
128053,20.2194
128051,21.5499
133148,18.618
133147,18.8907
128050,10.6465
128052,10.3153
 ,
HSBC Mutual Fund,
 ,
151047,12.9428
151045,26.1027
151044,10.9690
151046,12.2346
151043,24.5210
151042,10.2113
151041,24.1270
 ,
ICICI Prudential Mutual Fund,
 ,
134342,10.3035
130943,15.7498
134341,10.4846
120711,28.7261
120710,10.9750
120709,11.6722
130944,14.6853
114239,26.4599
114241,10.5892
114240,11.0170
 ,
IDBI Mutual Fund,
 ,
128337,13.0962
128332,11.8738
127181,17.1121
127183,15.8777
127184,11.6715
127182,11.2349
 ,
Invesco Mutual Fund,
 ,
130725,1680.5119
130722,1667.9991
130724,1155.1264
130726,1537.6498
130721,1538.1303
130723,1129.6353
 ,
Kotak Mahindra Mutual Fund,
 ,
119740,20.5519
117716,24.8493
119741,27.3625
117715,10.8066
 ,
Nippon India Mutual Fund,
 ,
112938,28.9240
112939,30.1460
148262,0.0000
148264,0.0000
148263,0.0000
148260,0.0000
118780,31.2841
132873,16.9380
118781,13.2630
132871,15.8670
112941,12.7163
148101,0.5342
148096,0.2893
148098,0.2477
148094,0.5036
148097,0.2763
148100,0.4333
148095,0.2405
148261,0.0000
148258,0.0000
148259,0.0000
 ,
SBI Mutual Fund,
 ,
119792,12.7565
119793,18.7110
119798,40.2068
118211,12.5062
102505,37.7861
102506,17.0824
 ,
UTI Mutual Fund,
 ,
148239,0
148241,0
148242,0
148238,0
148240,0
148245,0
148234,0
148236,0
148237,0
148235,0
148244,0
148243,0
148432,0
148427,0
148429,0
148430,0
148431,0
148428,0
148420,0
148426,0
148425,0
148424,0
148423,0
148422,0
147659,0
147656,0
147651,0
147660,0
147653,0
147655,0
147657,0
147654,0
147650,0
147658,0
147652,0
147649,0
148147,2.6874
148146,2.4018
148156,1.7437
148151,1.7035
148145,1.7067
148154,1.6036
148150,1.8964
148155,1.6027
148149,1.559
148152,1.6108
148153,1.4422
148148,1.706
117981,14.4437
135290,10.4216
136302,10.1936
120764,16.0603
135418,10.23
131419,9.5862
120765,11.333
133344,9.638
135051,9.3763
135419,9.6893
131418,8.6736
117982,10.2596
 ,
Open Ended Schemes(Debt Scheme - Dynamic Bond),
 ,
Aditya Birla Sun Life Mutual Fund,
 ,
119505,40.8774
102767,38.6125
147811,.2151
147810,.1841
147812,.1773
147809,.2053
147805,.179
147806,.1775
132918,13.3414
119503,10.7244
119502,10.6671
132917,12.4886
111521,10.4409
102766,10.5649
147808,.5952
147804,.5732
111848,26.7042
147807,.3965
 ,
Axis Mutual Fund,
 ,
120451,26.9465
120450,11.5261
120452,10.1853
115068,24.7111
115131,10.6984
115069,10.2971
 ,
Bandhan Mutual Fund,
 ,
108561,11.3986
108675,11.1004
111524,28.6492
122868,10.6754
111523,10.9542
131397,11.3841
118415,11.6669
118416,31.2242
122618,10.9442
118417,13.4057
131396,10.9482
118418,13.3319
 ,
Baroda BNP Paribas Mutual Fund,
 ,
150179,10.1148
150180,42.0349
150181,10.0000
150182,10.3597
150183,10.4958
150184,10.1024
150174,10.1148
150173,38.5783
150178,10.3659
150176,10.1968
150177,10.2979
150175,10.1016
150172,27.1702
 ,
Canara Robeco Mutual Fund,
 ,
118284,27.2209
118283,14.6772
111962,25.2976
111963,13.4772
 ,
DSP Mutual Fund,
 ,
119239,2912.5433
119238,1984.3875
119240,1049.0552
119236,1076.9879
119237,1058.8828
105669,2774.1574
105668,1252.7158
111786,1068.7996
105667,1068.4185
105878,1056.6169
 ,
Franklin Templeton Mutual Fund,
 ,
118495,84.0329
118496,14.1635
100498,15.6675
148308,0.0000
148307,0.0000
147982,0.0000
147984,0.0000
147983,0.0000
147981,0.0000
147985,0.1350
147988,0.8482
147987,0.8008
148309,0.0000
100499,94.7880
147986,0.1457
148310,0.0000
 ,
HDFC Mutual Fund,
 ,
101872,75.46
119075,81.7997
119072,13.4133
101874,11.5986
133369,17.2234
133370,16.1659
119073,13.3715
101873,12.1391
119074,14.7842
101875,13.4281
 ,
HSBC Mutual Fund,
 ,
151088,11.6868
151087,26.5917
151086,12.8303
151089,11.1437
151084,24.8510
151085,10.7701
 ,
ICICI Prudential Mutual Fund,
 ,
113218,11.2225
130937,17.0248
120601,11.2261
120603,32.7248
120600,21.2360
120602,11.8556
120604,10.5662
130938,17.8505
112096,30.7897
112097,19.1467
112094,25.7538
113403,11.5748
101351,10.8759
113220,10.8538
101350,49.3216
113417,11.6831
 ,
IDBI Mutual Fund,
 ,
118428,16.2303
116582,13.4774
116583,18.3997
116811,19.9218
118429,11.0652
116810,12.8623
 ,
IIFL Mutual Fund,
 ,
122612,18.5654
122715,19.4754
122721,12.6289
122717,17.9733
122711,18.5653
122720,17.9155
122719,11.8669
122712,17.9155
 ,
Indiabulls Mutual Fund,
 ,
145589,1304.6347
145590,1276.5097
145596,1008.2058
145595,1012.8854
145591,1014.3541
145597,1008.6892
145593,1008.7106
145598,1012.2556
145592,1014.0567
